0.100
"","time"," number scenarios","profit_value"
"iter1",7.000,20.000,7667.372
"iter2",61.000,22.000,7643.125
"iter3",98.000,25.000,7503.174
"iter4",116.000,28.000,7305.899
"iter5",140.000,31.000,7175.775
"iter6",434.000,35.000,6978.770
"iter7",2100.000,39.000,6960.910
"iter8",0.000,0.000,0.000
"iter9",0.000,0.000,0.000
"iter10",0.000,0.000,0.000
"iter11",0.000,0.000,0.000
"iter12",0.000,0.000,0.000
"iter13",0.000,0.000,0.000
"iter14",0.000,0.000,0.000
"iter15",0.000,0.000,0.000
"iter16",0.000,0.000,0.000
"iter17",0.000,0.000,0.000
"iter18",0.000,0.000,0.000
"iter19",0.000,0.000,0.000
"iter20",0.000,0.000,0.000
"iter21",0.000,0.000,0.000
"iter22",0.000,0.000,0.000
"iter23",0.000,0.000,0.000
"iter24",0.000,0.000,0.000
"iter25",0.000,0.000,0.000
"iter26",0.000,0.000,0.000
"iter27",0.000,0.000,0.000
"iter28",0.000,0.000,0.000
"iter29",0.000,0.000,0.000
"iter30",0.000,0.000,0.000
